X (cm),Y (cm),Dose
-1.253132832080201,-2.2556390977443606,1.1441293633885273e-10
-1.1528822055137837,-2.2556390977443606,1.4315168059843884e-10
-1.05263157894737,-2.2556390977443606,1.6035339260312777e-10
-0.9523809523809526,-2.2556390977443606,1.607989618458263e-10
-0.8521303258145387,-2.2556390977443606,1.4434849888771066e-10
-0.7518796992481214,-2.2556390977443606,1.1601219258227101e-10
0.7518796992481178,-2.2556390977443606,1.160121925822698e-10
0.8521303258145352,-2.2556390977443606,1.4434849888770965e-10
0.9523809523809526,-2.2556390977443606,1.607989618458263e-10
1.0526315789473664,-2.2556390977443606,1.6035339260312831e-10
1.1528822055137837,-2.2556390977443606,1.431516805984388e-10
1.2531328320801975,-2.2556390977443606,1.1441293633885394e-10
-1.654135338345867,-2.1553884711779467,1.3594806526712239e-10
-1.5538847117794496,-2.1553884711779467,2.642531890970458e-10
-1.4536340852130323,-2.1553884711779467,4.6045739670985497e-10
-1.3533834586466185,-2.1553884711779467,7.188047101021993e-10
-1.253132832080201,-2.1553884711779467,1.004862476076897e-09
-1.1528822055137837,-2.1553884711779467,1.2576578230728207e-09
-1.05263157894737,-2.1553884711779467,1.4090005793355021e-09
-0.9523809523809526,-2.1553884711779467,1.412935860824509e-09
-0.8521303258145387,-2.1553884711779467,1.2682337518182512e-09
-0.7518796992481214,-2.1553884711779467,1.0190108032530015e-09
-0.651629072681704,-2.1553884711779467,7.330569743577483e-10
-0.5513784461152902,-2.1553884711779467,4.722862872771397e-10
-0.4511278195488728,-2.1553884711779467,2.726436708525493e-10
-0.350877192982459,-2.1553884711779467,1.4117489547546314e-10
0.35087719298245545,-2.1553884711779467,1.4117489547545972e-10
0.4511278195488728,-2.1553884711779467,2.7264367085254927e-10
0.5513784461152866,-2.1553884711779467,4.722862872771316e-10
0.651629072681704,-2.1553884711779467,7.330569743577483e-10
0.7518796992481178,-2.1553884711779467,1.0190108032529912e-09
0.8521303258145352,-2.1553884711779467,1.268233751818242e-09
0.9523809523809526,-2.1553884711779467,1.4129358608245093e-09
1.0526315789473664,-2.1553884711779467,1.4090005793355073e-09
1.1528822055137837,-2.1553884711779467,1.2576578230728207e-09
1.2531328320801975,-2.1553884711779467,1.0048624760769076e-09
1.353383458646615,-2.1553884711779467,7.188047101022096e-10
1.4536340852130323,-2.1553884711779467,4.60457396709855e-10
1.553884711779446,-2.1553884711779467,2.6425318909705144e-10
1.6541353383458635,-2.1553884711779467,1.3594806526712567e-10
-1.8546365914786982,-2.0551378446115294,2.0355592984711521e-10
-1.7543859649122808,-2.0551378446115294,4.917256901661759e-10
-1.654135338345867,-2.0551378446115294,1.066736547558846e-09
-1.5538847117794496,-2.0551378446115294,2.075614237225992e-09
-1.4536340852130323,-2.0551378446115294,3.6193713171236128e-09
-1.3533834586466185,-2.0551378446115294,5.653002116833783e-09
-1.253132832080201,-2.0551378446115294,7.905485379943548e-09
-1.1528822055137837,-2.0551378446115294,9.896507327370155e-09
-1.05263157894737,-2.0551378446115294,1.1088734557696538e-08
-0.9523809523809526,-2.0551378446115294,1.1120016607477511e-08
-0.8521303258145387,-2.0551378446115294,9.980696998787396e-09
-0.7518796992481214,-2.0551378446115294,8.018459250033555e-09
-0.651629072681704,-2.0551378446115294,5.767386972966986e-09
-0.5513784461152902,-2.0551378446115294,3.715030646807232e-09
-0.4511278195488728,-2.0551378446115294,2.1441818576642206e-09
-0.350877192982459,-2.0551378446115294,1.1100070210794022e-09
-0.25062656641604164,-2.0551378446115294,5.175043413556582e-10
-0.15037593984962427,-2.0551378446115294,2.233578783422754e-10
-0.05012531328321046,-2.0551378446115294,1.0811402490438396e-10
0.05012531328320691,-2.0551378446115294,1.0811402490438202e-10
0.15037593984962427,-2.0551378446115294,2.233578783422754e-10
0.2506265664160381,-2.0551378446115294,5.175043413556438e-10
0.35087719298245545,-2.0551378446115294,1.1100070210793747e-09
0.4511278195488728,-2.0551378446115294,2.14418185766422e-09
0.5513784461152866,-2.0551378446115294,3.7150306468071667e-09
0.651629072681704,-2.0551378446115294,5.767386972966986e-09
0.7518796992481178,-2.0551378446115294,8.01845925003347e-09
0.8521303258145352,-2.0551378446115294,9.980696998787326e-09
0.9523809523809526,-2.0551378446115294,1.1120016607477511e-08
1.0526315789473664,-2.0551378446115294,1.1088734557696578e-08
1.1528822055137837,-2.0551378446115294,9.896507327370155e-09
1.2531328320801975,-2.0551378446115294,7.90548537994363e-09
1.353383458646615,-2.0551378446115294,5.653002116833863e-09
1.4536340852130323,-2.0551378446115294,3.6193713171236128e-09
1.553884711779446,-2.0551378446115294,2.0756142372260352e-09
1.6541353383458635,-2.0551378446115294,1.0667365475588718e-09
1.7543859649122808,-2.0551378446115294,4.917256901661758e-10
1.8546365914786946,-2.0551378446115294,2.035559298471223e-10
-2.0551378446115294,-1.9548872180451156,1.7788166096420953e-10
-1.9548872180451156,-1.9548872180451156,5.307736012546034e-10
-1.8546365914786982,-1.9548872180451156,1.4278541699577302e-09
-1.7543859649122808,-1.9548872180451156,3.4540314911921605e-09
-1.654135338345867,-1.9548872180451156,7.50054436577106e-09
-1.5538847117794496,-1.9548872180451156,1.4604704062500826e-08
-1.4536340852130323,-1.9548872180451156,2.5480143440890578e-08
-1.3533834586466185,-1.9548872180451156,3.9811239735724015e-08
-1.253132832080201,-1.9548872180451156,5.568832236489343e-08
-1.1528822055137837,-1.9548872180451156,6.972513588515233e-08
-1.05263157894737,-1.9548872180451156,7.813281161201973e-08
-0.9523809523809526,-1.9548872180451156,7.835790758081925e-08
-0.8521303258145387,-1.9548872180451156,7.033292419627908e-08
-0.7518796992481214,-1.9548872180451156,5.650961047218298e-08
-0.651629072681704,-1.9548872180451156,4.065231098263418e-08
-0.5513784461152902,-1.9548872180451156,2.619532869196465e-08
-0.4511278195488728,-1.9548872180451156,1.5128940589145012e-08
-0.350877192982459,-1.9548872180451156,7.840462739455588e-09
-0.25062656641604164,-1.9548872180451156,3.661271241147147e-09
-0.15037593984962427,-1.9548872180451156,1.583831882677016e-09
-0.05012531328321046,-1.9548872180451156,7.687474808482645e-10
0.05012531328320691,-1.9548872180451156,7.687474808482526e-10
0.15037593984962427,-1.9548872180451156,1.583831882677016e-09
0.2506265664160381,-1.9548872180451156,3.6612712411470462e-09
0.35087719298245545,-1.9548872180451156,7.840462739455368e-09
0.4511278195488728,-1.9548872180451156,1.5128940589145015e-08
0.5513784461152866,-1.9548872180451156,2.6195328691964193e-08
0.651629072681704,-1.9548872180451156,4.0652310982634186e-08
0.7518796992481178,-1.9548872180451156,5.6509610472182384e-08
0.8521303258145352,-1.9548872180451156,7.033292419627859e-08
0.9523809523809526,-1.9548872180451156,7.835790758081924e-08
1.0526315789473664,-1.9548872180451156,7.813281161202e-08
1.1528822055137837,-1.9548872180451156,6.972513588515231e-08
1.2531328320801975,-1.9548872180451156,5.5688322364894024e-08
1.353383458646615,-1.9548872180451156,3.981123973572458e-08
1.4536340852130323,-1.9548872180451156,2.5480143440890578e-08
1.553884711779446,-1.9548872180451156,1.4604704062501132e-08
1.6541353383458635,-1.9548872180451156,7.500544365771244e-09
1.7543859649122808,-1.9548872180451156,3.4540314911921605e-09
1.8546365914786946,-1.9548872180451156,1.427854169957775e-09
1.954887218045112,-1.9548872180451156,5.307736012546233e-10
2.0551378446115294,-1.9548872180451156,1.7788166096420953e-10
-2.1553884711779467,-1.8546365914786982,3.3732536218246737e-10
-2.0551378446115294,-1.8546365914786982,1.1149676919187883e-09
-1.9548872180451156,-1.8546365914786982,3.333060571295681e-09
-1.8546365914786982,-1.8546365914786982,8.978137757101208e-09
-1.7543859649122808,-1.8546365914786982,2.1738675525409305e-08
-1.654135338345867,-1.8546365914786982,4.7237700738719045e-08
-1.5538847117794496,-1.8546365914786982,9.20229863161902e-08
-1.4536340852130323,-1.8546365914786982,1.606033057137713e-07
-1.3533834586466185,-1.8546365914786982,2.509948868949533e-07
-1.253132832080201,-1.8546365914786982,3.511553332639144e-07
-1.1528822055137837,-1.8546365914786982,4.397239783403345e-07
-1.05263157894737,-1.8546365914786982,4.928004940851008e-07
-0.9523809523809526,-1.8546365914786982,4.942826689993643e-07
-0.8521303258145387,-1.8546365914786982,4.437528990028248e-07
-0.7518796992481214,-1.8546365914786982,3.566763110741808e-07
-0.651629072681704,-1.8546365914786982,2.567762906143522e-07
-0.5513784461152902,-1.8546365914786982,1.6567546950680778e-07
-0.4511278195488728,-1.8546365914786982,9.589190487157777e-08
-0.350877192982459,-1.8546365914786982,4.986263543564262e-08
-0.25062656641604164,-1.8546365914786982,2.3399750838101052e-08
-0.15037593984962427,-1.8546365914786982,1.0194691401488047e-08
-0.05012531328321046,-1.8546365914786982,4.9925174050886245e-09
0.05012531328320691,-1.8546365914786982,4.992517405088537e-09
0.15037593984962427,-1.8546365914786982,1.0194691401488047e-08
0.2506265664160381,-1.8546365914786982,2.339975083810041e-08
0.35087719298245545,-1.8546365914786982,4.986263543564141e-08
0.4511278195488728,-1.8546365914786982,9.589190487157778e-08
0.5513784461152866,-1.8546365914786982,1.6567546950680487e-07
0.651629072681704,-1.8546365914786982,2.567762906143522e-07
0.7518796992481178,-1.8546365914786982,3.5667631107417775e-07
0.8521303258145352,-1.8546365914786982,4.437528990028217e-07
0.9523809523809526,-1.8546365914786982,4.942826689993644e-07
1.0526315789473664,-1.8546365914786982,4.928004940851017e-07
1.1528822055137837,-1.8546365914786982,4.397239783403345e-07
1.2531328320801975,-1.8546365914786982,3.511553332639181e-07
1.353383458646615,-1.8546365914786982,2.5099488689495684e-07
1.4536340852130323,-1.8546365914786982,1.606033057137713e-07
1.553884711779446,-1.8546365914786982,9.202298631619216e-08
1.6541353383458635,-1.8546365914786982,4.7237700738720376e-08
1.7543859649122808,-1.8546365914786982,2.173867552540931e-08
1.8546365914786946,-1.8546365914786982,8.97813775710152e-09
1.954887218045112,-1.8546365914786982,3.333060571295808e-09
2.0551378446115294,-1.8546365914786982,1.1149676919187883e-09
2.155388471177943,-1.8546365914786982,3.373253621824813e-10
-2.355889724310778,-1.7543859649122808,1.3075469607684902e-10
-2.2556390977443606,-1.7543859649122808,5.199702934908431e-10
-2.1553884711779467,-1.7543859649122808,1.8939955288804164e-09
-2.0551378446115294,-1.7543859649122808,6.270037483153249e-09
-1.9548872180451156,-1.7543859649122808,1.876416601742735e-08
-1.8546365914786982,-1.7543859649122808,5.058364784926723e-08
-1.7543859649122808,-1.7543859649122808,1.225453552558955e-07
-1.654135338345867,-1.7543859649122808,2.6639371093149606e-07
-1.5538847117794496,-1.7543859649122808,5.191045049636644e-07
-1.4536340852130323,-1.7543859649122808,9.061543577135097e-07
